epoch,train_acc,train_mse,val_acc,val_mse,w,b
1,0.61,0.37119469638460784,1.0,0.0011059302960031612,"[0.040534393309762204, 0.07728990833600181, 0.6133738297602016, 0.47693614689873826]",0.38468073449369167
2,0.95,0.042308657305032395,1.0,0.0011540783858042841,"[-0.02808995843005286, -0.08631807962160563, 0.8311535433166644, 0.46858927132971534]",0.34294635664857764
3,0.96,0.027313281003985283,1.0,0.0011739024395921696,"[-0.0872451089715377, -0.22348037197537157, 1.0208535178113716, 0.46162095290565486]",0.30810476452827534
4,0.98,0.018930127743057856,1.0,0.001187296929053005,"[-0.1367866482464248, -0.34654400388860424, 1.18811960682915, 0.45545416408412165]",0.277270820420609
5,0.98,0.014061372960763999,1.0,0.0012145844098692192,"[-0.17912642517346306, -0.458103583830474, 1.3354962704414248, 0.4499415421547039]",0.24970771077351914
